numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
1350,Jonathan Wilson,Jordan Stevens,TPCC73510080166076,4,0.4698549008,0.0,2015-03-03T00:00:00,83,17107.18,55000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9245283018867924,0.0754716981132075,0.0,55000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,1081739.0,1466507.0,1488698.0,1143216.0,0.0,205395.0,528757.0,3077900.0,709098.0,12.0,2638802.0,2013.0,De 6 a 10 anos,200000.0,False,False,1.0,163759.0,2020-03-18T15:25:16
1360,Ms. Hazel Robinson,Dr. Allan Parsons,LFRK88697213073364,27,0.6029134431,0.0,2013-12-05T00:00:00,0,0.0,80000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,-5.3e-15,80000.0,2020-03-18T18:54:37,2019-12-31T03:00:00,4049397.0,1158182.0,6914627.0,2582249.0,0.0,1223228.0,1629576.0,16031005.0,8027670.0,12.0,8003335.0,2013.0,De 6 a 10 anos,100000.0,False,False,1.0,534000.0,2020-02-03T20:57:33
1381,Katherine Parkinson,Dr. Heather Buckley,AEEX22981940889566,0,0.3897621495,0.0,2009-04-03T00:00:00,4,4906.67,170000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0,170000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,9920717.0,221212.0,10233308.0,10012096.0,0.0,0.0,373958.0,5679219.0,738618.0,12.0,4940601.0,1972.0,Acima de 17 anos,1500000.0,False,False,1.0,895122.0,2020-03-18T19:03:57
1388,Danielle Middleton,Ms. Sophie Perry,NELW58002256713089,4,0.382102052,0.0,2016-11-04T00:00:00,19,36736.13,360000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.866025403784439,360000.0,2020-03-18T19:49:43,2019-12-31T06:00:00,63220976.0,61466010.0,64437727.0,1376433.0,0.0,20544058.0,30510478.0,200771296.0,25666292.0,12.0,164033672.0,1984.0,Acima de 17 anos,350000.0,False,False,1.0,19345624.0,2020-02-03T20:57:33
1400,Dr. Karl Webster,Harry Robinson,CQFL28442892468834,8,0.4523612213,0.0,2007-08-29T00:00:00,41,767078.27,1000000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,-0.89895028654329,1000000.0,2020-03-18T20:17:33,2019-08-31T03:00:00,21950841.0,10538518.0,23345038.0,6257403.0,0.0,5126222.0,10479806.0,25038845.0,12392520.0,8.0,12646325.0,1990.0,Acima de 17 anos,260000.0,False,False,0.9370702299,152000.0,2020-02-03T20:57:33
1408,William Nicholson-Baker,Mr. Glenn Pugh,OTZM13860353858027,11,0.0,0.0,2016-07-05T11:24:51,0,0.0,1200000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0,1200000.0,2020-03-18T20:20:45,2019-09-30T03:00:00,68629847.0,10396943.0,68666171.0,58269228.0,0.0,61632578.0,4507910.0,80654482.0,50034609.0,9.0,58100057.0,2013.0,De 6 a 10 anos,3000000.0,False,False,0.0,9915134.0,2020-02-03T20:57:33
1411,Sharon Pollard,Mr. Kenneth Richards,ZXCS44067145381458,3,0.5633860075,0.0,2019-01-28T00:00:00,1,1071.42,200000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9622641509433962,0.0377358490566037,0.0,200000.0,2020-03-18T20:28:50,2020-09-30T03:00:00,132568623.0,96389589.0,135886027.0,39496437.0,0.0,53781446.0,75217329.0,172206811.0,37367131.0,12.0,134839680.0,1990.0,Acima de 17 anos,450000.0,False,False,1.0,5631021.0,2020-02-03T20:57:33
1460,Dr. Trevor Brown,Reece Rogers,SBEA77170966206008,690,0.4210653684,0.0,2006-05-22T00:00:00,40,98698.7,800000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9056603773584904,0.0943396226415094,-0.0476580814528376,500000.0,2020-03-19T14:28:11,2019-10-31T03:00:00,9726587.0,8348177.0,10370619.0,1569857.0,0.0,8174721.0,3385874.0,20254913.0,7983449.0,10.0,12271464.0,1985.0,Acima de 17 anos,1300000.0,False,False,0.9973025608,873068.0,2020-02-03T20:57:33
1512,Sian Shaw,Dr. Abdul Cross,PZGQ95770897025151,4,0.3698778235,0.0,2016-05-30T00:00:00,0,0.0,75000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,0.0,75000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,4322882.0,2374007.0,4324242.0,50000.0,0.0,1203068.0,3026982.0,3983742.0,2310013.0,12.0,1673729.0,2013.0,De 6 a 10 anos,50000.0,False,False,1.0,104057.0,2020-03-20T14:56:35
1520,Carole Iqbal,Kerry Bowen,LNGE93053337229755,24,0.3574833249,0.0,2008-05-15T00:00:00,63,32680.39,420000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.8928571428571428,0.1071428571428571,5.8e-15,420000.0,2020-02-05T19:14:37,2019-10-31T03:00:00,14141365.0,3083210.0,16544896.0,11989746.0,0.0,8419595.0,4815404.0,34685864.0,7103553.0,10.0,27582312.0,1988.0,Acima de 17 anos,2000000.0,False,False,0.9895547454,5670000.0,2020-03-20T15:08:34
1544,Leonard Harper,Samuel Cross,IOAQ47275065679827,4,0.5807346049,0.0,2016-01-29T00:00:00,0,0.0,60000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9642857142857142,0.0357142857142857,0.0,60000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,9619504.0,8740315.0,9639442.0,899126.0,0.0,6010190.0,1206759.0,30752360.0,4131733.0,12.0,26620627.0,2010.0,De 6 a 10 anos,153000.0,False,False,1.0,195000.0,2020-03-20T16:34:14
1634,Robert Gray,Yvonne Green,JNPG85281905421097,18,0.5157703658,0.0,2019-10-31T00:00:00,16,49896.0,250000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9464285714285714,0.0535714285714285,0.0,250000.0,2020-03-30T17:35:29,2019-12-31T03:00:00,818478000.0,49943000.0,1768742000.0,1116493000.0,0.0,161666000.0,0.0,1808539000.0,998174000.0,12.0,810365000.0,2008.0,De 11 a 16 anos,1400000.0,False,False,1.0,1172113.0,2020-02-03T20:57:33
1641,Dr. Karl Webster,Harry Robinson,CQFL28442892468834,8,0.4523612213,0.0,2007-08-29T00:00:00,41,767078.27,1800000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9642857142857142,0.0357142857142857,-0.89895028654329,600000.0,2020-03-31T18:40:43,2019-12-31T03:00:00,16351166.0,12005993.0,17837929.0,5831936.0,0.0,4768396.0,5769797.0,25038845.0,12392520.0,8.0,12646325.0,1990.0,Acima de 17 anos,260000.0,False,False,0.9370702299,152000.0,2020-02-03T20:57:33
